Quest,Quest,Order,Type,Status,Created_at
626945e5175ef40001e9c496,13817,JMB-v572134-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 06:32:21 GMT-0700 (Pacific Daylight Time)
626950bbd26fe50001fb6d6e,13817,JMB-v572222-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 07:18:35 GMT-0700 (Pacific Daylight Time)
6268601a175ef400011a126d,13817,JMB-v569568-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 14:11:54 GMT-0700 (Pacific Daylight Time)
62694d96968bb800018c099d,13817,JMB-v572189-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 07:05:10 GMT-0700 (Pacific Daylight Time)
62694885175ef40001112d69,13817,JMB-v572146-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 06:43:33 GMT-0700 (Pacific Daylight Time)
62696b73175ef400013292be,13817,JMB-v572498-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 09:12:35 GMT-0700 (Pacific Daylight Time)
626966c7968bb80001fb756a,13817,JMB-v572429-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 08:52:39 GMT-0700 (Pacific Daylight Time)
6268aab3d26fe50001d84787,13817,JMB-v570838-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 19:30:11 GMT-0700 (Pacific Daylight Time)
62683fce175ef4000133722a,13817,JMB-v569186-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 11:54:06 GMT-0700 (Pacific Daylight Time)
626743d2968bb80001fb379b,13817,JMB-v566883-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 17:58:58 GMT-0700 (Pacific Daylight Time)
62691acc175ef40001817516,13817,JMB-v571951-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 03:28:28 GMT-0700 (Pacific Daylight Time)
62682f8c968bb8000161f2fc,13817,JMB-v569002-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 10:44:44 GMT-0700 (Pacific Daylight Time)
62525290c5cfda0001cb27e5,13817,JMB-v522715-01,CENCOSUD_SHOPPER,APPROVED,Sat Apr 09 2022 20:44:16 GMT-0700 (Pacific Daylight Time)
62686f82968bb8000112404f,13817,JMB-v569781-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 15:17:38 GMT-0700 (Pacific Daylight Time)
626701e1d26fe50001f8b9b1,13817,JMB-v565682-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 13:17:37 GMT-0700 (Pacific Daylight Time)
62673ec0968bb800018ffb4f,13817,JMB-v566763-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 17:37:20 GMT-0700 (Pacific Daylight Time)
6269c758d26fe50001872e68,13817,JMB-v573541-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 15:44:40 GMT-0700 (Pacific Daylight Time)
62673aeb968bb800011575bb,13817,JMB-v566697-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 17:20:59 GMT-0700 (Pacific Daylight Time)
62688837968bb80001ff2536,13817,JMB-v570073-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 17:03:03 GMT-0700 (Pacific Daylight Time)
62673f66175ef40001bb4e5d,13817,JMB-v566773-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 17:40:06 GMT-0700 (Pacific Daylight Time)
6269c51dd26fe500011cf03f,13817,JMB-v573511-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 15:35:09 GMT-0700 (Pacific Daylight Time)
6269badad26fe50001f3f504,13817,JMB-v573378-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 14:51:22 GMT-0700 (Pacific Daylight Time)
62684842968bb80001f3d39c,13817,JMB-v569291-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 12:30:10 GMT-0700 (Pacific Daylight Time)
6268594fd26fe50001752595,13817,JMB-v569480-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 13:42:55 GMT-0700 (Pacific Daylight Time)
6268b4ecd26fe5000187f9b3,13817,JMB-v571180-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 20:13:48 GMT-0700 (Pacific Daylight Time)
6268cdcf175ef4000125a985,13817,JMB-v571847-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 21:59:59 GMT-0700 (Pacific Daylight Time)
62673a65968bb80001a3eca1,13817,JMB-v566686-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 17:18:45 GMT-0700 (Pacific Daylight Time)
6268c7f4d26fe500010ec63c,13817,JMB-v571703-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 21:35:00 GMT-0700 (Pacific Daylight Time)
6266f16bd26fe50001e018a2,13817,JMB-v565340-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 12:07:23 GMT-0700 (Pacific Daylight Time)
626757a2968bb800010ac49a,13817,JMB-v567340-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 19:23:30 GMT-0700 (Pacific Daylight Time)
6268ee2c968bb80001977d05,13817,JMB-v571610-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 00:18:04 GMT-0700 (Pacific Daylight Time)
62686484175ef4000143f456,13817,JMB-v569618-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 14:30:44 GMT-0700 (Pacific Daylight Time)
62696d51175ef40001005d31,13817,JMB-v572521-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 09:20:33 GMT-0700 (Pacific Daylight Time)
626969d0968bb8000128021d,13817,JMB-v572475-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 09:05:36 GMT-0700 (Pacific Daylight Time)
